位置,x,y
肥西县,117.1645578,31.71296213
肥西县三联村,117.1645578,31.71296213
肥西县三元村,117.2571118,31.59322228
肥西县严店社区,117.2171718,31.63610273
肥西县柿树岗村,116.9554338,31.5926811
肥西县周楼村,116.9349624,31.57245891
肥西县龙社区,117.1645578,31.71296213
肥西县廖渡村,116.9080732,31.54619324
肥西县马堰村,116.8696148,31.58494217
肥西县杨桥村,117.1645578,31.71296213
肥西县新街社区,117.2531203,31.59705551
肥西县黄花村,116.9525048,31.636697
肥西县中洋村,116.9308945,31.6549473
肥西县宗洼村,116.8800559,31.55638477
肥西县双龙社区,116.9266841,31.68184328
肥西县楼塘村,116.7693532,31.72727054
肥西县新光社区,116.8891179,31.76860222
肥西县井王社区,116.7872567,31.71215617
肥西县启明社区,116.797592,31.72741198
肥西县三河村,116.8500642,31.74137665
肥西县白龙社区,116.9012885,31.68836339
肥西县聚星社区,116.8873589,31.72410595
肥西县长镇村,117.1645578,31.71296213
肥西县高店社区,116.8404334,31.90477436
肥西县五四社区,116.866751,31.87639852
肥西县杨湾村,117.1645578,31.71296213
肥西县四合社区,117.0210236,31.57444561
肥西县花岗工业园,117.0971136,31.65715745
肥西县大黄村,117.0466049,31.57115501
肥西县七十埠社区,117.0507309,31.61882969
肥西县芮店社区,117.0243326,31.65785447
肥西县陶店社区,117.0348691,31.59731631
肥西县龙安社区,117.3065249,31.55990251
肥西县九联村,117.240008,31.57966293
肥西县西湖村,117.3347839,31.58343203
肥西县临丰村,117.29599,31.54788247
肥西县光明村,116.7777827,31.67853792
肥西县沈店社区,116.865652,31.66629493
肥西县金牛社区,116.801516,31.66387032
肥西县兴庄村,116.8537078,31.63205608
肥西县光明社区,116.7777827,31.67853792
肥西县馆东村,116.8897418,31.63108299
肥西县炉墩村,116.8059783,31.59029408
肥西县小井庄社区,116.869041,31.63709897
肥西县荷冲村,116.8804253,31.67678402
肥西县吕楼社区,116.915675,31.65277452
肥西县金圩村,116.7846482,31.62211697
肥西县陡岗社区,116.8338916,31.58084436
肥西县丰乐社区,117.1866551,31.56401594
肥西县三里村,117.2001324,31.57338924
肥西县双枣社区,117.2028258,31.61131067
肥西县赵桥村,117.0637559,31.58297876
肥西县张老圩村,116.9105442,31.72681176
肥西县周公山社区,116.9217413,31.73918727
肥西县李陵村,117.0135367,31.70379004
肥西县新农村,116.967039,31.75448126
肥西县罗坝村,117.0641403,31.7317012
肥西县农兴社区,117.0295229,31.76981653
肥西县彭圩村,117.1718513,31.6777275
肥西县五十埠社区,117.1281445,31.69361881
肥西县江夏店社区,116.806247,31.83987501
肥西县回民社区,116.898847,31.81016696
肥西县张祠村,116.948499,31.79517797
肥西县焦婆社区,116.9283796,31.77980198
肥西县黄店村,116.7858306,31.85330137
肥西县金华村,116.731734,31.82708651
肥西县江夏社区,116.806247,31.83987501
肥西县王祠村,116.7936591,31.78572773
肥西县朱桥村,116.780746,31.82311968
肥西县老庙村,116.7684169,31.88945336
肥西县半店村,116.8192377,31.79436313
肥西县金星村,116.7332287,31.79815804
肥西县长庄村,117.1645578,31.71296213
长丰县,117.1735601,32.48372262
长丰县刘兴村,117.4050404,32.36759532
长丰县高祠村,117.3980018,32.30348902
长丰县隆兴社区,117.3854635,32.34393726
长丰县庙后村,117.3943084,32.32122863
长丰县杜集镇迎新村,117.4384546,32.36949991
长丰县杜集镇振兴村民委员会,117.3545921,32.3717817
长丰县义合村,117.4206457,32.34238668
长丰县邱集社区,117.3595127,32.36856992
长丰县东黄村,117.3664344,32.38180702
长丰县张岗村,117.0982479,32.42611267
长丰县上拐村,117.1103267,32.39730637
长丰县樊祠村,117.0621379,32.39778722
长丰县朱桥村,117.1336045,32.42674362
长丰县邵桥村,117.0995699,32.46045806
长丰县徐庙社区,117.0912595,32.43388124
长丰县罗塘社区,117.1499073,32.39555541
长丰县海宝村,117.3162355,32.12797938
长丰县华丰村,117.3093164,32.07383886
长丰县拐王村,117.1938356,32.53835572
长丰县裴户村,117.1262773,32.50280039
长丰县关美社区,117.1704769,32.12164493
长丰县石集村,117.1732131,32.09093191
长丰县观美村,117.1704769,32.12164493
长丰县新丰社区,117.147075,32.17989707
长丰县古城社区,117.1609686,32.15591115
长丰县楼西村,117.0790444,32.09976062
长丰县薛店村,116.9977313,32.1395683
长丰县牌碑社区,117.1003514,32.13889688
长丰县王楼村,117.0978569,32.10520931
长丰县韩岗村,117.302143,32.22067503
长丰县李岗村,117.1797895,32.44819598
长丰县朝晖社区,117.3662963,32.17015017
长丰县赵店社区,117.1989314,32.24808079
长丰县镇北村,117.1735601,32.48372262
长丰县柘塘村,117.2809958,32.33123337
长丰县前黄村,117.273066,32.33862785
长丰县陈庄村,117.1735601,32.48372262
长丰县枣林社区,117.0981384,32.3579274
长丰县张圩村,117.077999,32.34625707
长丰县薛桥村,117.1140741,32.35491925
长丰县刘浅社区,117.1465867,32.34358142
长丰县青峰岭村,117.1067828,32.04544872
长丰县陶店村,117.0904156,32.17655213
长丰县谷大郢村,117.0549689,32.16538969
长丰县马郢社区,117.0171987,32.21029274
长丰县义井社区,117.1162305,32.30135626
长丰县向东村,117.1735601,32.48372262
长丰县红桥村,117.0819039,32.32407871
长丰县曹店村,117.177954,32.30093975
长丰县双河社区,117.290318,32.23973126
长丰县缪岗村,117.38583,32.25977939
长丰县双丰村,117.3286363,32.2284269
长丰县双河村,117.290318,32.23973126
长丰县韩庄村,117.2063757,32.39911178
长丰县代集村,117.1988429,32.39976198
长丰县梁曹村,117.1854696,32.39808706
长丰县凤凰村,117.180263,32.37946336
肥东县,117.4754006,31.89389035
肥东县大许社区,117.7867499,32.00454127
肥东县三河社区,117.4855058,32.19756138
肥东县江淮社区,117.4411245,31.83392699
肥东县松王社区,117.7419324,32.16505186
肥东县大夏村,117.518668,32.09285988
肥东县蒋祠村,117.662533,32.2168274
肥东县宋盛村,117.6613927,32.20037627
肥东县陆还村,117.6888128,32.17272883
肥东县南鲁村,117.6004441,32.11255411
肥东县秦湖社区,117.7019628,32.2512794
肥东县创业村,117.8140013,32.08142238
肥东县许井社区,117.468298,32.00768605
肥东县新联合村,117.4163233,32.10217245
肥东县大邵村,117.6140939,32.12586907
肥东县岗李村,117.8162818,32.1134041
肥东县护城社区,117.5876929,32.0675114
肥东县民新村,117.513861,31.95602498
肥东县桥头集镇,117.5632049,31.76522884
肥东县马集社区,117.637683,31.88307618
肥东县新展社区,117.60372,31.88841602
肥东县阚东社区,117.6493261,31.9326542
肥东县联合村,117.4163233,32.10217245
肥东县花张村,117.5327894,32.20710795
肥东县青龙厂社区,117.3900383,32.19461807
肥东县洪桥村,117.419291,32.18995307
肥东县黎明村,117.4754006,31.89389035
肥东县管湾社区,117.5452838,32.0267978
肥东县大王社区,117.4471521,32.10625252
肥东县三官社区,117.8000813,32.05115294
肥东县兴桥村,117.4754006,31.89389035
肥东县小陶社区,117.5326545,32.00012024
肥东县兴庙村,117.4754006,31.89389035
肥东县三王村,117.4904794,31.99116712
肥东县新丰村,117.4872568,32.04921291
肥东县草庙村,117.4764107,32.07236814
肥东县黄湖村,117.6528607,32.23876175
肥东县霞光村,117.3825181,32.00929736
肥东县富旺村,117.648395,32.112913
肥东县广兴社区,117.8322326,32.20968112
肥东县塘东村,117.7630364,32.04917098
肥东县金赵村,117.4754006,31.89389035
肥东县沙河村,117.8528025,32.05482822
肥东县兴一村,117.4882854,31.97250427
肥东县赵集社区,117.6669193,32.21778104
肥东县塘西村,117.4355375,32.1143235
肥东县青龙厂社区,117.3900383,32.19461807
肥东县大袁村,117.7340366,32.11196384
肥东县杨塘社区,117.788522,32.10550653
肥东县友谊村,117.4754006,31.89389035
肥东县湾陈村,117.7201649,32.08763874
肥东县联盟社区,117.4754006,31.89389035
肥东县张圩村,117.5092355,32.01902279
肥东县双枣村,117.4754006,31.89389035
肥东县王塘社区,117.4248102,32.147385
肥东县白龙社区,117.4319287,32.14997768
肥东县路口社区,117.4754006,31.89389035
肥东县王铁社区,117.637356,31.85871755
肥东县石塘社区,117.647698,31.93944603
肥东县八斗村,117.6166753,32.16458275
肥东县快乐村,117.4481256,32.18987148
肥东县肖凤社区,117.3751629,32.23715292
肥东县许集村,117.5813698,32.20502989
肥东县响导社区,117.6193941,32.21672721
肥东县上张村,117.554677,32.18850334
肥东县军王村,117.6669767,32.16681748
庐江县,117.2935773,31.26132764
庐江县新桥村,117.3324379,31.37330716
庐江县罗埠村,117.2945888,31.36586469
庐江县迎松村,117.2947641,31.33118975
庐江县三岔村,117.3586378,31.38110756
庐江县马岗村,117.4812219,31.36894006
庐江县明圣村,117.370221,31.34068754
庐江县铺岗村,117.1765516,31.38255965
庐江县梁岗村,117.4018847,31.36046874
庐江县栖凤岭村,117.4195125,31.3305929
庐江县凤桥社区,117.1267766,31.34361076
庐江县百花村,117.1108653,31.29678686
庐江县果树村,117.081262,31.28768184
庐江县双墩村,117.2935773,31.26132764
庐江县三冲村,117.2935773,31.26132764
庐江县马槽村,117.0901746,31.30720109
庐江县八里村,117.3328475,31.0728676
庐江县沙溪村,117.2769574,31.16279722
庐江县竹元村,117.3238462,31.11001613
庐江县大岭村,117.3467835,31.08864271
庐江县胜岗村,117.3413339,31.15264681
庐江县泥河社区,117.315536,31.09984386
庐江县万山镇闸山村,117.2240238,31.31701422
庐江县万山镇长冲村,117.188141,31.33304136
庐江县万山镇廿埠村,117.183404,31.29990817
庐江县万山镇卅埠村,117.188141,31.33304136
庐江县万山镇水关村,117.1809792,31.31320119
庐江县万山镇,117.188141,31.33304136
庐江县山南村,117.2279624,31.39037924
庐江县圩坝村,117.2372239,31.43283936
庐江县莫堰村,117.1960825,31.3602448
庐江县金牛村,117.2426303,31.41027292
庐江县健康村,117.2232482,31.41958838
庐江县笏山村,117.240717,31.36604052
庐江县石头社区,117.2760235,31.43038459
庐江县望城村,117.2591686,31.42221007
庐江县三拐村,117.2935773,31.26132764
庐江县马塘村,117.2117825,31.44533237
庐江县南圩村,117.4568395,31.18064149
庐江县郭河社区,117.1651257,31.43138243
庐江县广寒村,117.2178369,31.49136801
庐江县北圩村,117.2511397,31.47527915
庐江县陶冲村,117.372208,31.24476958
庐江县金湾社区,117.4303454,31.18814136
庐江县西城村,117.2935773,31.26132764
庐江县梅山社区,117.3891345,31.47569075
庐江县连河村,117.5100122,31.15400457
庐江县永安村,117.4719447,31.07852473
庐江县灵台村,117.2935773,31.26132764
庐江县马河村,117.2935773,31.26132764
庐江县西湾村,117.2935773,31.26132764
庐江县魏荡村,117.264455,31.49618089
庐江县神墩村,117.4723559,31.34580507
庐江县苍头村,117.5562841,31.41776584
庐江县七里村,117.523857,31.38406851
庐江县许桥村,117.458725,31.45895694
庐江县金城村,117.5288687,31.40876394
庐江县高山村,117.4180864,31.13275621
庐江县黄屯社区,117.5079287,31.11869651
庐江县凌安村,117.5138732,31.08192679
庐江县盆形村,117.3915344,31.11526641
庐江县福兴村,117.5008273,31.11597725
庐江县觉海村,117.4341145,31.48458815
庐江县马鞍村,117.3478602,31.40619473
庐江县同春村,117.4249152,31.5076996
庐江县金沈村,117.4059814,31.48591861
庐江县乐华村,117.2935773,31.26132764
庐江县刘墩社区,117.4648061,31.16196645
庐江县钟山社区,117.433247,31.10486783
庐江县杨山村,117.2935773,31.26132764
庐江县石峡村,117.4860217,31.00832536
庐江县东风村,117.326901,31.01982009
庐江县高桥村,117.3680266,31.0269705
庐江县鲍店村,117.3991605,30.98827716
庐江县杨岗村,117.1942405,31.1635311
庐江县黄山村,117.1455656,31.08788056
庐江县桂元村,117.2295019,31.13488476
庐江县金桥村,117.1359438,31.1278818
庐江县大化村,117.1857921,31.11959366
庐江县老院社区,117.2839927,31.0397222
庐江县鳌山村,117.2935773,31.26132764
庐江县陡岗社区,117.224898,31.08956883
庐江县田桥村,117.3995588,31.02187507
庐江县古塘村,117.45226,31.11733569
庐江县双庙村,117.2935773,31.26132764
庐江县新中村,117.438949,31.07119782
庐江县徐榜村,117.4189991,31.01113865
庐江县大塘村,117.0909273,31.32605738
庐江县临圣村,117.3851335,31.5187192
庐江县南闸村,117.3892891,31.51238634
庐江县常丰村,117.3179164,31.46901185
庐江县古圩村,117.312541,31.44685423
庐江县永兴村,117.3256236,31.45797124
庐江县红埂村,117.291567,31.50400492
巢湖市,117.8955762,31.62900243
巢湖市联河村,117.8955762,31.62900243
巢湖市坝镇街道社区,117.8955762,31.62900243
巢湖市湖东村,117.5476245,31.29765269
巢湖市石塘村,117.600707,31.33320885
巢湖市泉水村,117.5897112,31.29132203
巢湖市大岭村,117.8222653,31.51261492
巢湖市项山村,117.8022167,31.52811417
巢湖市后洞村,117.7987706,31.51000102
巢湖市佛岭村,117.7433275,31.52111899
巢湖市姥山村,117.7100075,31.47977498
巢湖市联合村,117.9235693,31.87715375
巢湖市三份村,117.8955762,31.62900243
巢湖市合裕村,117.6360858,31.70879276
巢湖市大程村,117.679455,31.74019199
巢湖市曙光村,117.617396,31.69216676
巢湖市凤凰村,117.6815948,31.72402417
巢湖市花集村,117.6409299,31.75872578
巢湖市炀镇,117.6427149,31.69052895
巢湖市合群村,117.5232104,31.6279486
巢湖市建中村,117.7820377,31.77213443
巢湖市芦溪村,117.8955762,31.62900243
巢湖市张疃村,117.5999464,31.60814786
巢湖市花塘村,117.8955762,31.62900243
巢湖市跃进村,117.6230966,31.64083206
巢湖市建麓村,117.8955762,31.62900243
巢湖市驷马村,117.7158572,31.74810096
巢湖市双泉村,117.8955762,31.62900243
巢湖市三星村,117.7417009,31.82893142
巢湖市汪桥村,117.8442525,31.80469083
巢湖市建和村,117.7835827,31.80416063
巢湖市路店村,117.7182285,31.84881624
巢湖市童集村,117.6829169,31.7634237
巢湖市莲花社区,117.8955762,31.62900243
巢湖市童坛村,117.6940474,31.76266078
巢湖市方集村,117.6938289,31.82759096
巢湖市清涧村,117.7114414,31.86720055
巢湖市尖山村,117.6520052,31.80195471
巢湖市军高村,117.7103116,31.81225608
巢湖市沿山村,117.8955762,31.62900243
巢湖市包坊村,117.801754,31.85853338
巢湖市苏湾社区,117.8273718,31.88548718
巢湖市寨山村,117.8436266,31.8919147
巢湖市梁帝村,117.8284812,31.91303714
巢湖市坊集社区,117.9073422,31.88973558
巢湖市石门村,117.7336509,31.91564427
巢湖市柳集社区,117.7704192,31.89574012
巢湖市栏杆社区,117.8955762,31.62900243
巢湖市北陈村,117.7939938,31.90913895
巢湖市赵集居委会,117.7699646,31.92858371
巢湖市青岗村,117.846663,31.95219259
巢湖市洪桥村,117.8082435,31.97170358
巢湖市朱桥村,117.8272464,31.93398232
巢湖市柳南村,117.8955762,31.62900243
巢湖市元通村,117.8955762,31.62900243
巢湖市竹柯村,117.8475573,31.69359776
巢湖市八字口村,117.8912287,31.81913887
巢湖市独山村,117.9094047,31.73903579
巢湖市里岗村,117.850068,31.78201096
巢湖市大焦村,117.8228083,31.71401998
巢湖市银屏镇,117.8609638,31.55857389
巢湖市岱山村,117.8955762,31.62900243
巢湖市钓鱼村,117.939646,31.52986368
巢湖市爱国村,117.9201134,31.52949579
巢湖市三胜村,117.8609453,31.58174914
巢湖市箕山村,117.8910359,31.53828145
巢湖市芙蓉村,117.8716529,31.50961627
巢湖市吕婆村,117.8955762,31.62900243
巢湖市白牡山村,117.886231,31.52125821
巢湖市惠峰村,117.617978,31.34457885
巢湖市官塘村,117.5934973,31.41876097
巢湖市龙王村,117.5427679,31.33144584
巢湖市沐集村,117.5418224,31.3737613
巢湖市万年村,117.5650823,31.35855439
巢湖市九峰村,117.5908559,31.41047795
巢湖市平安村,117.6001586,31.38848438
巢湖市槐光村,117.6374038,31.44537311
巢湖市大汪村,117.6339367,31.43472284
巢湖市周庄村,117.598401,31.36643288
巢湖市垅山村,117.8022167,31.52811417
巢湖市湖边村,117.5841174,31.44036627
巢湖市武山村,117.8955762,31.62900243
巢湖市海如村,117.6277515,31.40185075
巢湖市潘付村,117.6148775,31.37287105
巢湖市兆河村,117.5618355,31.385923
巢湖市太平村,117.619747,31.31466629
巢湖市建华村,117.7818316,31.66613104
巢湖市滨湖村,117.8955762,31.62900243
巢湖市小联圩村,117.7850682,31.6403541
巢湖市旗麓村,117.9258371,31.58573495
巢湖市旗鼓村,117.9306448,31.59941743
巢湖市义城社区,117.904163,31.59910426
巢湖市龟山社区,117.822177,31.63195692
巢湖市大塘村,117.7888614,31.79114553
巢湖市西村,117.6147754,31.67760612
巢湖市石塘村,117.600707,31.33320885
巢湖市青山村,117.5326517,31.30099196
巢湖市联河村,117.8955762,31.62900243
巢湖市工民村,117.7686268,31.8537155
巢湖市鲁桥社区,117.8821296,31.90274254
巢湖市寨山村,117.8436266,31.8919147
巢湖市大庙村,117.8276587,31.65089202
巢湖市大焦村,117.8228083,31.71401998
巢湖市张华村,117.8649509,31.73095406
巢湖市沿河村,117.8645028,31.95941239
巢湖市庙集村,117.7433434,31.68484425
巢湖市接引庵村,117.769164,31.82378883
巢湖市夏店村,117.6233037,31.31617317
巢湖市姥山村,117.7100075,31.47977498
巢湖市湖东村,117.5476245,31.29765269
巢湖市坊集社区,117.9073422,31.88973558
巢湖市国胜村,117.8039974,31.75712016
巢湖市独山村,117.9094047,31.73903579
巢湖市柳南,117.8955762,31.62900243
巢湖市夏阁居,117.8412362,31.70817522
巢湖市广严村,117.7216995,31.69999576
巢湖市X山村,117.8955762,31.62900243
巢湖市泉水村,117.5897112,31.29132203
巢湖市龙泉村,117.8925543,31.76537367
巢湖市五星社区,117.8201721,31.79502521
巢湖市柳南村,117.8955762,31.62900243
巢湖市三圩村,117.8013744,31.70347055
巢湖市夏阁社区,117.8347423,31.71835237
巢湖市苏垅村,117.8625369,31.74602419
巢湖市元通村,117.8955762,31.62900243
巢湖市中ド缜,117.7783604,31.66671444
巢湖市尉桥村,117.897397,31.78112925
,104.086174,30.66422387
